SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
3390545,2,80528,204,21,0,42,31:24.2,XJT3G8AY1MBCW4MSD67M
5025190,22,80308,271,21,0,462,54:42.5,DXAGNFCP8DYJ0C4VYQVP
5513298,21,88688,196,23,0.1,483,17:08.7,3FHFAYXZ764YTEPM5WH8
5481515,3,69359,262,18,0,54,40:37.4,OBNQYN42ZQJ9A8W9WLCZ
191597,16,76016,198,20,0,320,37:54.3,OEE1RWTWN7HC2XN7VBDT
1458271,7,37398,4,10,0,70,42:31.5,CBYZC4TVDWD5IYM5C8U3
1547764,18,57143,136,15,0,270,09:17.8,0D0SVDODMAHIKAEYBEOW
5183388,7,10116,140,3,0,21,29:49.3,BKYEM3ZNB2WBCNMI2VUI
5568415,8,12757,391,4,0,32,43:52.4,91NLWOR3RM3I3HI3V2JP
2507682,11,56645,350,15,0.1,165,16:14.4,XLFLVLBFLS74M6077FJ6
624877,1,70315,119,18,0.2,18,37:45.3,CKWOA7A5B0NWYBQDB0O1
3303772,2,18020,164,5,0.2,10,43:49.8,NQP1J9UQXZDH2MW7XFSV
536524,2,87933,58,23,0,46,39:47.7,LGDXKD0LHSLGQQ71DDCW
3059448,4,744,128,1,0,4,45:36.0,GY385OMFYUW2WG5D8LUD
2716583,15,12498,402,4,0,60,30:04.3,4UXQAOSNOWBLSIOCHYK4
4863660,18,32114,73,9,0,162,00:32.4,O2R2RKXBHH11XSMGL3BP
4558064,17,83312,24,22,0,374,34:45.3,G3GN5H6DJ7T63AS0RSOV
2633381,9,56146,379,15,0,135,24:52.6,YU3C5T17JQOD76QMMEPP
1606193,15,2863,283,1,0,15,53:54.7,YHTCR2FST60P9322BC01
1067705,23,89636,124,23,0,529,14:31.0,NP1RX9NAWDL4KZ965QDB
842429,13,82493,121,21,0,273,54:25.9,G0JOU95KRRC1LMAUBJ3J
1155685,8,5647,302,2,0,16,20:17.8,POOBC3JI0SN86PFXTI0R
5013360,18,46847,21,12,0,216,16:42.1,UFUOXBVFZNOZBCW2QMQN
712592,9,58112,415,15,0.2,135,59:34.3,GODSZI3WDRM579N3HUIY
4058718,19,69324,259,18,0,342,18:56.2,KZLZXC60ACILLPW29LJ1
6485283,8,23879,269,7,0,56,08:58.9,3RVHS3MITJ1YM2G6ZNJJ
4550494,22,27886,144,8,0,176,50:11.2,BSI6L8YURO2SRH4ULWM8
4215591,23,90644,142,23,0,529,43:39.6,E1LDXVW9S27AGEIM8K28
2018012,9,53884,372,14,0,126,14:32.4,OX1D4LVVQRC5PF6BTVVJ
119294,15,83255,79,22,0,330,35:33.2,RW0JXJN2CPRFZLM7DATG
1525102,13,40563,94,11,0,143,00:31.8,1C7ZG44YXC3HZ2KK1J99
2887949,9,20084,440,6,0,54,56:04.7,7KGT8FGQ3EHSCLMYW74N
17837,15,74549,187,19,0,285,57:31.0,F2P96O9AW6A7YUB4B3EV
5751010,16,40860,245,11,0,176,51:47.3,1TGFX5JL7OD34G4K75E5
1146417,1,85966,279,22,0.2,22,46:55.9,TYH5BB8MVWEXJLU0ZZID
6019356,7,19869,249,6,0,42,16:53.2,VEBCAPWU4JUO9OG0WIFQ
5795493,15,61199,61,16,0,240,30:17.8,ZDP9BD5IN6VIFPM5IVGD
3701592,7,40892,65,11,0,77,41:59.0,EYWPM3M594KDDP65OV55
2062207,17,29054,63,8,0,136,12:54.9,VP2DQNER0YZVAGOCCHZG
392569,17,45789,35,12,0,204,,U70I5N2YMHTEBHT5QHR9
5054143,20,69245,433,18,0,360,45:13.1,7GEPWD745AL8EMJKK15X
5312951,23,24491,300,7,0,161,39:32.0,IHILIA396SM0Y42I16CN
6362231,22,81403,309,21,0,462,08:32.4,BKP8D40FHCOKPWJS02YM
2191713,8,28403,338,8,0,64,52:34.6,6WIEB95FA2I1PG1FJNRQ
245650,7,27526,342,7,0,49,30:19.1,TTHWECR7FGQW5KROTEHJ
3018860,15,68538,135,18,0.1,270,27:40.3,0ZZ5QKM6NZQN3N3O47EB
376793,6,42780,102,11,0,66,20:56.7,K6ES09XYGH2W5B4W92RN
3393371,19,70497,261,18,0.1,342,42:14.3,265Q1OBWIW383LU3I49E
2225077,9,83095,263,22,0,198,52:07.7,5XMCRE8UGV0O05MXAUMJ
6578377,11,87487,1,23,0,253,42:14.8,UHXKV3RF9Z9O4B9RLGTM
68790,3,37072,138,10,0,30,49:51.3,HWY3IHC6VGNGX2W2913B
20880,11,91595,276,24,0,264,24:04.6,Y4WFU5455Y37I5IRTX38
6425488,12,65161,418,17,0.1,204,28:42.0,4I29KX7DUXAQDD6YOXEV
2126066,21,21664,87,6,0.2,126,33:46.8,O9R2AZ14TV1YKSUKFXIZ
5656570,23,19279,233,5,0,115,52:57.0,02REH7JDN7M0MLQ04LEH
2624805,17,87388,281,23,0,391,37:50.6,L8V6GL07MJN1152JGX9B
4009228,4,82110,165,21,0,84,23:24.4,INVYWWVRAQ1JKSM5743U
4526743,3,83116,419,22,0,66,14:01.9,V78XUF6IZ4D6S62RBSLZ
5888512,11,80282,157,21,0,231,29:25.7,ZRF8QGGWWENR5ZZQX3YH
3158176,12,61972,383,16,0,192,01:48.5,NMWBA2NM1C0HIVUXXZFM
76855,3,373,165,1,0,3,00:02.3,6GGCMF61CQJCN8CEY5R3
3556045,6,42035,88,11,0.2,66,42:23.4,OS4GHVXS5UVWFZMLUOXR
5650355,8,32985,161,9,0.2,72,51:06.5,SDPHS0GA82ARM1P022SM
4952703,3,83294,207,22,0,66,42:01.0,9IGMQO7V4PMCD6TYSDG7
5500881,2,16732,366,5,0,10,53:33.8,S46P0VMU8X4O4HLF61AW
2222574,8,94514,169,24,0,192,00:50.3,XNJOSMSK0K6GX0PUANLC
4330990,20,13181,43,4,0,80,33:12.7,UX64EVVXUM8H2THM297Z
4355392,1,29719,101,8,0,8,23:36.4,XQ9MBRMCOC5NABVN0N7D
3946109,11,43887,195,12,0,132,47:25.3,47U597SQPFFEFNTFGSRR
3986100,3,59413,389,16,0.2,48,19:03.9,TSBGZMJWV93GAAIA7JS7
566614,2,62059,431,16,0,32,41:56.4,6Z0T35K7QOW6G74UG9SQ
2638965,1,64795,37,17,0.2,17,15:45.9,HDI7WTDTVWW57EL1CDZG
1051708,21,32100,226,9,0,189,32:08.6,5WQQ3PT59PCEXLH9MO1A
5882670,4,7138,438,2,0,8,15:43.4,VDE2TMFRSLZHWGLWISVN
4731543,6,96505,263,25,0,150,11:55.8,RBPDPAJIEG97WHM3D2A7
6117189,4,23761,392,7,0,28,23:54.8,LHGHBGQ1JFFDV4A17YEV
5656970,22,78686,39,20,0,440,35:08.6,3ET3WAPK99UMQQR4D8L1
784971,13,37842,62,10,0,130,27:48.8,HMAQEGOIHSPMJWKMK46G
1404505,10,56523,140,15,0.1,150,47:08.0,KNH5H1IY6YGXIHSC2UDX
2877985,17,985,416,1,0.1,17,08:32.5,MLR4IIGT3N050ZNFBT6I
6019400,13,39270,87,10,0,130,16:43.6,OSBB877BA774IOAHI6NB
2531134,10,56771,146,15,0,150,48:51.2,3CO7201Y2UI3RNIXW45O
